DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2018,7954997,6403,1,,,
2018,7954998,6403,2,,,
2018,7978547,6403,3,,,
2018,7995919,6403,4,,,
2018,8364308,6403,5,,,
2018,8364307,6403,6,,,
2018,8368866,6403,7,,,
2018,8364309,6403,8,,,
2018,8437287,6403,9,,,
2018,8479739,6403,10,,,
2018,8575643,6403,11,,,
2018,8620945,6403,12,,,
2018,7925883,6319,1,,,
2018,7978347,6319,2,,,
2018,7978348,6319,3,,,
2018,7995181,6319,4,,,
2018,8364219,6319,5,,,
2018,8364217,6319,6,,,
2018,8364220,6319,7,,,
2018,8364221,6319,8,,,
2018,8437242,6319,9,,,
2018,8433908,6319,10,,,
2018,8437473,6319,11,,,
2018,8479719,6319,12,,,
2018,7925792,6240,1,,,
2018,8436009,6240,2,,,
2018,7978166,6240,3,,,
2018,7978169,6240,4,,,
2018,8362379,6240,5,,,
2018,8362380,6240,6,,,
2018,8362381,6240,7,,,
2018,8435931,6240,8,,,
2018,8435930,6240,9,,,
2018,8433841,6240,10,,,
2018,8437453,6240,11,,,
2018,8436067,6240,12,,,
2018,7926988,6358,1,,,
2018,7978446,6358,2,,,
2018,7982412,6358,3,,,
2018,7995763,6358,4,,,
2018,8362476,6358,5,,,
2018,8364281,6358,6,,,
2018,8368857,6358,7,,,
2018,8368858,6358,8,,,
2018,8437267,6358,9,,,
2018,8437379,6358,10,,,
2018,8575635,6358,11,,,
2018,8574880,6358,12,,,
2018,7924713,6114,1,,,
2018,7978013,6114,2,,,
2018,7978011,6114,3,,,
2018,7978017,6114,4,,,
2018,8364078,6114,5,,,
2018,8368740,6114,6,,,
2018,8368742,6114,7,,,
2018,8368741,6114,8,,,
2018,8435897,6114,9,,,
2018,8437357,6114,10,,,
2018,8437429,6114,11,,,
2018,8574779,6114,12,,,
2018,8766985,6383,1,,,
2018,8620943,6383,2,,,
2018,8622161,6383,3,,,
2018,8772108,6383,4,,,
2018,8623382,6383,5,,,
2018,8772107,6383,6,,,
2018,8772106,6383,7,,,
2018,8766987,6383,8,,,
2018,8766986,6383,9,,,
2018,8772105,6383,10,,,
2018,8620942,6383,11,,,
2018,8696504,6383,12,,,
2018,7930746,6317,1,,,
2018,7978326,6317,2,,,
2018,7978327,6317,3,,,
2018,7978328,6317,4,,,
2018,7995179,6317,5,,,
2018,8362424,6317,6,,,
2018,8368835,6317,7,,,
2018,8364211,6317,8,,,
2018,8435943,6317,9,,,
2018,8433907,6317,10,,,
2018,8437472,6317,11,,,
2018,8575623,6317,12,,,
2018,7925870,6307,1,,,
2018,7978320,6307,2,,,
2018,8364197,6307,3,,,
2018,8364195,6307,4,,,
2018,8364199,6307,5,,,
2018,8364194,6307,6,,,
2018,8364198,6307,7,,,
2018,8364200,6307,8,,,
2018,8437238,6307,9,,,
2018,8575608,6307,10,,,
2018,8575609,6307,11,,,
2018,8574845,6307,12,,,
