DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2017,7472746,6428,1,,,
2017,7497336,6428,2,,,
2017,7525544,6428,3,,,
2017,7576431,6428,4,,,
2017,7599607,6428,5,,,
2017,7599609,6428,6,,,
2017,7599600,6428,7,,,
2017,7661482,6428,8,,,
2017,7661485,6428,9,,,
2017,7690560,6428,10,,,
2017,7717005,6428,11,,,
2017,7717004,6428,12,,,
2017,7471708,6274,1,,,
2017,7497237,6274,2,,,
2017,7525269,6274,3,,,
2017,7576252,6274,4,,,
2017,7599112,6274,5,,,
2017,7599113,6274,6,,,
2017,7599109,6274,7,,,
2017,7608498,6274,8,,,
2017,7660807,6274,9,,,
2017,7660808,6274,10,,,
2017,7689864,6274,11,,,
2017,7716608,6274,12,,,
2017,7472709,6374,1,,,
2017,7497296,6374,2,,,
2017,7525327,6374,3,,,
2017,7576389,6374,4,,,
2017,7599422,6374,5,,,
2017,7599421,6374,6,,,
2017,7599413,6374,7,,,
2017,7608851,6374,8,,,
2017,7633753,6374,9,,,
2017,7927031,6374,10,,,
2017,7927033,6374,11,,,
2017,7927032,6374,12,,,
2017,7471628,6166,1,,,
2017,7496573,6166,2,,,
2017,7524219,6166,3,,,
2017,7576163,6166,4,,,
2017,7597496,6166,5,,,
2017,7597497,6166,6,,,
2017,7597482,6166,7,,,
2017,7608470,6166,8,,,
2017,7633125,6166,9,,,
2017,7660791,6166,10,,,
2017,7689817,6166,11,,,
2017,7716497,6166,12,,,
2017,7471665,6244,1,,,
2017,7496610,6244,2,,,
2017,7524269,6244,3,,,
2017,7576208,6244,4,,,
2017,7598980,6244,7,,,
2017,7472728,6407,1,,,
2017,7497322,6407,2,,,
2017,7525355,6407,3,,,
2017,7576418,6407,4,,,
2017,7599620,6407,5,,,
2017,7604518,6407,6,,,
2017,7599533,6407,7,,,
2017,7610575,6407,8,,,
2017,7637176,6407,9,,,
2017,7663846,6407,10,,,
2017,7693179,6407,11,,,
2017,7719047,6407,12,,,
2017,7471662,6241,1,,,
2017,7496606,6241,2,,,
2017,7524264,6241,3,,,
2017,7576205,6241,4,,,
2017,7598977,6241,5,,,
2017,7598978,6241,6,,,
2017,7598971,6241,7,,,
2017,7633148,6241,8,,,
2017,7660797,6241,9,,,
2017,7689839,6241,10,,,
2017,7716558,6241,11,,,
2017,7716559,6241,12,,,
2017,7471638,6180,1,,,
2017,7472722,6400,1,,,
2017,7497315,6400,2,,,
2017,7525347,6400,3,,,
2017,7576410,6400,4,,,
2017,7599548,6400,5,,,
2017,7599549,6400,6,,,
2017,7599520,6400,7,,,
2017,7634406,6400,8,,,
2017,7690621,6400,9,,,
2017,7717461,6400,10,,,
2017,7717077,6400,11,,,
2017,7717411,6400,12,,,
2017,7471138,6087,1,,,
2017,7496224,6087,2,,,
2017,7524180,6087,3,,,
2017,7576109,6087,4,,,
2017,7597293,6087,5,,,
2017,7597294,6087,6,,,
2017,7597290,6087,7,,,
2017,7608188,6087,8,,,
2017,7633076,6087,9,,,
2017,7716320,6087,10,,,
2017,7716323,6087,11,,,
2017,7716321,6087,12,,,
2017,7525305,6323,1,,,
2017,7525311,6323,2,,,
2017,7525296,6323,3,,,
2017,7576300,6323,4,,,
2017,7925900,6323,5,,,
2017,7925902,6323,6,,,
2017,7599272,6323,7,,,
2017,7954212,6323,8,,,
2017,7954213,6323,9,,,
2017,7954214,6323,10,,,
2017,7954215,6323,11,,,
2017,7716683,6323,12,,,
