DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2020,8480595,6373,1,,,
2020,8520047,6373,2,,,
2020,8540680,6373,3,,,
2020,8561367,6373,4,,,
2020,8506409,6373,5,,,
2020,8492633,6373,6,,,
2020,8520144,6373,7,,,
2020,8494439,6373,8,,,
2020,8480786,6373,9,,,
2020,8538141,6373,10,,,
2020,8496849,6373,11,,,
2020,8519110,6373,12,,,
2020,8543565,6155,1,,,
2020,8545202,6155,2,,,
2020,8569319,6155,3,,,
2020,8504240,6155,4,,,
2020,8493951,6155,5,,,
2020,8569397,6155,6,,,
2020,8530070,6155,7,,,
2020,8485438,6155,8,,,
2020,8511912,6155,9,,,
2020,8513748,6155,10,,,
2020,8572773,6155,11,,,
2020,8525793,6155,12,,,
2020,8501263,6091,1,,,
2020,8489048,6091,2,,,
2020,8490956,6091,3,,,
2020,8540700,6091,4,,,
2020,8556084,6091,5,,,
2020,8530464,6091,6,,,
2020,8506452,6091,7,,,
2020,8509901,6091,8,,,
2020,8572916,6091,9,,,
2020,8508739,6091,10,,,
2020,8498445,6091,11,,,
2020,8570701,6091,12,,,
2020,8533675,6189,1,,,
2020,8550959,6189,2,,,
2020,8514975,6189,3,,,
2020,8502879,6189,4,,,
2020,8515035,6189,5,,,
2020,8544127,6189,6,,,
2020,8490266,6408,1,,,
2020,8533126,6408,2,,,
2020,8557230,6374,1,,,
2020,8543380,6374,2,,,
2020,8485079,6374,3,,,
2020,8569148,6374,4,,,
2020,8555584,6362,1,,,
2020,8564234,6362,2,,,
2020,8550564,6362,3,,,
2020,8565965,6362,4,,,
2020,8511322,6362,5,,,
2020,8511408,6293,1,,,
2020,8523193,6077,1,,,
2020,8509507,6077,2,,,
2020,8561139,6077,3,,,
2020,8552227,6077,4,,,
2020,8497761,6077,5,,,
2020,8506246,6077,6,,,
2020,8569637,6077,7,,,
2020,8555790,6184,1,,,
2020,8497659,6184,2,,,
2020,8533495,6184,3,,,
2020,8562228,6228,1,,,
2020,8564230,6228,2,,,
2020,8487164,6228,3,,,
2020,8518240,6228,4,,,
2020,8493952,6228,5,,,
2020,8567883,6228,6,,,
2020,8562385,6228,7,,,
2020,8495772,6228,8,,,
2020,8484749,6228,9,,,
2020,8534447,6228,10,,,
2020,8572774,6228,11,,,
2020,8542856,6228,12,,,
2020,8526295,6088,1,,,
2020,8502216,6088,2,,,
2020,8535041,6088,3,,,
2020,8565750,6088,4,,,
2020,8502295,6088,5,,,
2020,8519794,6242,1,,,
2020,8541879,6242,2,,,
2020,8482138,6242,3,,,
2020,8492368,6242,4,,,
2020,8483872,6242,5,,,
2020,8530259,6242,6,,,
2020,8494213,6242,7,,,
2020,8548956,6242,8,,,
2020,8560230,6242,9,,,
2020,8505254,6242,10,,,
2020,8529294,6242,11,,,
2020,8572894,6242,12,,,
2020,8567731,6128,1,,,
2020,8557453,6128,2,,,
2020,8558993,6128,3,,,
2020,8485877,6183,1,,,
2020,8535478,6277,1,,,
2020,8509949,6277,2,,,
2020,8494516,6277,3,,,
2020,8520298,6277,4,,,
2020,8556300,6277,5,,,
2020,8494595,6277,6,,,
2020,8566280,6127,1,,,
2020,8516619,6127,2,,,
2020,8514974,6127,3,,,
2020,8527019,6127,4,,,
2020,8520118,6127,5,,,
2020,8549117,6127,6,,,
2020,8533829,6127,7,,,
2020,8544184,6127,8,,,
2020,8546635,6127,9,,,
2020,8573499,6127,10,,,
2020,8483262,6127,11,,,
2020,8532841,6127,12,,,
2020,8552555,6071,1,,,
2020,8523705,6406,1,,,
2020,8486100,6406,2,,,
2020,8497058,6406,3,,,
2020,10740582,6243,1,,,
2020,8509478,6126,1,,,
2020,8545415,6126,2,,,
2020,8511461,6126,3,,,
2020,8519897,6126,4,,,
2020,8516394,6100,1,,,
2020,8509508,6100,2,,,
2020,8502662,6100,3,,,
2020,8516469,6100,4,,,
2020,8547417,6100,5,,,
2020,8514855,6100,6,,,
2020,8550879,6100,7,,,
2020,8514905,6100,8,,,
2020,8494267,6322,1,,,
2020,8497882,6322,2,,,
2020,8518361,6143,1,,,
2020,8512886,6336,1,,,
2020,8561109,6336,2,,,
2020,8518422,6336,3,,,
2020,8548851,6336,4,,,
2020,8566186,6336,5,,,
2020,8555918,6336,6,,,
2020,8539985,6131,1,,,
2020,8524681,6131,2,,,
2020,8555430,6131,3,,,
2020,8543427,6131,4,,,
2020,8557999,6189,7,,,
2020,8515111,6189,8,,,
2020,8542998,6189,9,,,
2020,8563660,6189,10,,,
2020,8550038,6189,11,,,
2020,8507228,6189,12,,,
2020,8498777,6190,1,,,
2020,8485048,6190,2,,,
2020,8495392,6419,1,,,
2020,8511013,6419,2,,,
2020,8533154,6419,3,,,
2020,8505771,6419,4,,,
2020,8547035,6419,5,,,
2020,8560802,6419,6,,,
2020,8481816,6419,7,,,
2020,8558933,6419,8,,,
2020,8561906,6419,9,,,
2020,8563280,6419,10,,,
2020,8544673,6419,11,,,
2020,8524024,6419,12,,,
2020,8528217,6223,1,,,
2020,8567529,6223,2,,,
2020,8553723,6223,3,,,
2020,8533173,6223,4,,,
2020,8507983,6323,1,,,
2020,8493851,6321,1,,,
2020,8514558,6321,2,,,
2020,8491881,6458,1,,,
2020,8557255,6458,2,,,
2020,8483400,6458,3,,,
2020,8493716,6458,4,,,
2020,8558837,6458,5,,,
2020,8555509,6458,6,,,
2020,8517950,6087,1,,,
2020,8526328,6087,2,,,
2020,8505743,6087,3,,,
2020,8533172,6087,4,,,
2020,8484183,6399,1,,,
2020,8482529,6399,2,,,
2020,8498136,6399,3,,,
2020,8564911,6399,4,,,
2020,8510015,6399,5,,,
2020,8484336,6399,6,,,
2020,8539068,6175,1,,,
2020,8507395,6175,2,,,
2020,8521394,6408,3,,,
2020,8521426,6408,4,,,
2020,8565789,6408,5,,,
2020,8493775,6408,6,,,
2020,8536771,6408,7,,,
2020,8497409,6408,8,,,
2020,8484632,6408,9,,,
2020,8490267,6459,1,,,
2020,8503998,6459,2,,,
2020,8485080,6459,3,,,
2020,8514401,6459,4,,,
2020,8555479,6459,5,,,
2020,8536748,6459,6,,,
2020,8560873,6487,1,,,
2020,8483583,6487,2,,,
2020,8528473,6487,3,,,
2020,8502486,6487,4,,,
2020,8561083,6082,1,,,
2020,8552166,6082,2,,,
2020,8494109,6082,3,,,
2020,8559241,6082,4,,,
2020,8562438,6342,1,,,
2020,8504365,6342,2,,,
2020,8514785,6342,3,,,
2020,8499260,6342,4,,,
2020,8488914,6342,5,,,
2020,8526926,6218,1,,,
2020,8554276,6218,2,,,
2020,8490958,6218,3,,,
2020,8554320,6218,4,,,
2020,8569800,6218,5,,,
