Lat,Lon,Lon2,NORMALS 1981-2010,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANN
36.733333,102.483333,-102.483333,BOISE CITY 2 E, OK,0.48,0.43,1.23,1.29,2.14,2.99,2.66,3.34,1.57,1.38,0.59,0.67,18.77
36.833333,99.616667,-99.616667,BUFFALO 2 SSW, OK,0.66,1.00,1.81,2.21,3.63,4.08,2.06,2.84,2.09,2.14,1.22,0.95,24.69
36.766667,98.350000,-98.350000,CHEROKEE 4W, OK,1.21,1.53,2.80,2.78,4.29,4.75,3.08,3.33,2.81,2.92,1.68,1.40,32.58
36.866667,96.566667,-96.566667,FORAKER, OK,1.04,1.31,3.04,3.43,5.25,5.74,3.90,3.24,4.67,3.58,1.79,1.74,38.73
36.550000,99.583333,-99.583333,FORT SUPPLY 3SE, OK,0.72,0.93,2.20,2.24,3.65,4.11,2.34,3.07,2.23,2.28,1.28,0.97,26.02
36.600000,101.616667,-101.616667,GOODWELL 2 E, OK,0.50,0.47,1.60,1.38,2.39,2.72,2.50,2.83,1.72,1.57,0.65,0.76,19.09
36.750000,98.133333,-98.133333,GREAT SALT PLAINS DAM, OK,0.92,1.14,2.90,2.54,4.41,4.56,2.95,3.81,3.14,3.29,1.80,1.31,32.77
36.533333,98.266667,-98.266667,HELENA 1 SSE, OK,1.05,1.32,2.79,2.89,4.17,4.52,2.80,3.44,2.87,3.06,1.73,1.36,32.00
36.883333,95.283333,-95.283333,HOLLOW, OK,1.65,2.03,3.40,4.03,6.42,5.28,3.37,2.94,4.37,3.65,3.22,2.44,42.80
36.866667,101.216667,-101.216667,HOOKER, OK,0.53,0.54,1.37,1.53,2.35,2.45,2.54,2.09,1.65,1.54,0.58,0.80,17.97
36.716667,97.800000,-97.800000,JEFFERSON, OK,1.00,1.32,2.99,3.02,5.16,4.91,2.95,3.71,3.25,3.47,1.98,1.44,35.20
36.900000,102.966667,-102.966667,KENTON, OK,0.45,0.49,1.05,1.19,2.05,2.34,3.43,3.13,1.39,1.43,0.56,0.52,18.03
36.700000,99.900000,-99.900000,LAVERNE, OK,0.68,0.87,1.82,1.94,2.75,3.52,2.65,2.85,1.80,1.88,1.11,1.05,22.92
36.883333,94.883333,-94.883333,MIAMI, OK,1.97,2.18,3.65,3.75,5.62,5.16,3.34,3.38,5.18,3.55,4.13,2.15,44.06
36.883333,97.050000,-97.050000,NEWKIRK 1NW, OK,0.97,1.67,3.05,4.02,5.19,5.73,3.90,3.44,3.67,3.82,2.18,1.67,39.31
36.666667,96.350000,-96.350000,PAWHUSKA, OK,1.68,2.26,3.93,4.86,5.79,6.50,4.56,3.59,4.61,3.84,3.03,2.29,46.94
36.733333,97.100000,-97.100000,PONCA CITY MUNI AP, OK,1.00,1.34,2.71,3.44,4.81,5.06,3.33,3.25,3.29,3.38,1.81,1.42,34.84
36.933333,102.633333,-102.633333,REGNIER, OK,0.35,0.33,0.95,1.17,2.01,2.44,2.44,2.59,1.15,1.29,0.47,0.44,15.63
36.666667,95.133333,-95.133333,VINITA 2 N, OK,1.98,2.22,3.68,3.90,5.42,4.71,3.07,3.15,4.96,3.81,3.72,2.74,43.36
36.583333,98.866667,-98.866667,WAYNOKA, OK,0.75,1.01,2.16,2.17,4.31,4.28,2.69,3.13,2.28,2.50,1.38,1.08,27.74
